epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2682,3.97515,25.7144,1.9042,0.67289,0.00198,0.00065,0.00026,3.25533,21.3789,1.37172,0.0003,0.0003,0.0003
2,48.289,2.85557,4.07519,1.17084,0.07515,0.15632,0.03438,0.01305,2.89839,inf,1.23538,0.000603961,0.000603961,0.000603961
3,71.0942,2.5125,2.73974,1.07283,0.54864,0.30681,0.32986,0.11122,2.48323,2.5256,1.06387,0.000901784,0.000901784,0.000901784
4,93.8267,2.3161,2.16155,1.0363,0.60392,0.51333,0.53587,0.21766,2.23425,2.03187,1.01458,0.0009703,0.0009703,0.0009703
5,116.396,2.18915,1.83557,0.98033,0.733,0.60265,0.64661,0.29277,2.09177,1.50325,0.98528,0.0009604,0.0009604,0.0009604
6,138.712,2.11695,1.66756,0.98844,0.71555,0.57739,0.64471,0.26013,2.16859,1.57493,0.98092,0.0009505,0.0009505,0.0009505
7,161.032,2.08608,1.55049,0.96654,0.8191,0.68078,0.72172,0.29506,2.14275,1.40969,0.99757,0.0009406,0.0009406,0.0009406
8,183.736,2.05381,1.41965,0.9644,0.79319,0.69432,0.73961,0.30468,2.16435,1.34944,0.99099,0.0009307,0.0009307,0.0009307
9,206.283,2.02704,1.41629,0.95019,0.83688,0.69608,0.78261,0.37478,1.93008,1.34306,0.94973,0.0009208,0.0009208,0.0009208
10,228.896,1.95122,1.32144,0.94346,0.90954,0.75092,0.82406,0.39044,1.9281,1.17638,0.9407,0.0009109,0.0009109,0.0009109
11,253.082,1.92743,1.21409,0.95001,0.90487,0.76096,0.83993,0.40325,1.91313,1.09246,0.94117,0.000901,0.000901,0.000901
12,278.434,1.93033,1.19848,0.93105,0.90288,0.78878,0.84718,0.40918,1.89269,1.07932,0.93842,0.0008911,0.0008911,0.0008911
13,302.593,1.88973,1.12959,0.9339,0.91364,0.80628,0.85778,0.40484,1.91825,1.06098,0.94906,0.0008812,0.0008812,0.0008812
14,325.773,1.91981,1.15622,0.9413,0.90484,0.79526,0.85328,0.38726,1.95871,1.0982,0.95559,0.0008713,0.0008713,0.0008713
15,348.497,1.8577,1.11298,0.93237,0.92076,0.82355,0.87513,0.41834,1.90366,1.00012,0.94156,0.0008614,0.0008614,0.0008614
16,371.025,1.8271,1.04157,0.92419,0.92298,0.83998,0.88164,0.41893,1.89756,0.98922,0.94005,0.0008515,0.0008515,0.0008515
17,393.57,1.8056,1.02499,0.92022,0.92406,0.81972,0.87836,0.4257,1.8617,0.99599,0.93615,0.0008416,0.0008416,0.0008416
18,416.312,1.86387,1.04594,0.91525,0.92292,0.81346,0.86839,0.42196,1.87122,1.00873,0.92921,0.0008317,0.0008317,0.0008317
19,439.033,1.81381,1.0176,0.9097,0.91913,0.84439,0.88893,0.41831,1.87885,0.9919,0.92444,0.0008218,0.0008218,0.0008218
20,461.56,1.7346,0.95968,0.90268,0.90722,0.83128,0.89039,0.4319,1.80491,0.97092,0.91689,0.0008119,0.0008119,0.0008119
21,483.948,1.73729,0.9641,0.90873,0.93325,0.84329,0.90246,0.43855,1.84778,0.93129,0.92146,0.000802,0.000802,0.000802
22,506.059,1.74491,0.93165,0.90149,0.91843,0.84315,0.88622,0.43489,1.80441,0.95402,0.91944,0.0007921,0.0007921,0.0007921
23,528.586,1.77624,0.97334,0.91073,0.93852,0.83034,0.8836,0.42536,1.85573,1.01194,0.92299,0.0007822,0.0007822,0.0007822
24,550.832,1.73858,0.9635,0.90378,0.88379,0.86175,0.89732,0.4505,1.80844,0.97019,0.91497,0.0007723,0.0007723,0.0007723
25,573.113,1.74478,0.92045,0.89528,0.94561,0.84703,0.90405,0.43964,1.78719,0.91209,0.91469,0.0007624,0.0007624,0.0007624
26,595.726,1.74198,0.90081,0.9046,0.93235,0.87132,0.91256,0.4591,1.76395,0.89304,0.91146,0.0007525,0.0007525,0.0007525
27,618.347,1.81537,0.96816,0.89398,0.93601,0.87144,0.91021,0.46112,1.79276,0.92097,0.91143,0.0007426,0.0007426,0.0007426
28,640.679,1.73627,0.92261,0.90664,0.96754,0.83502,0.91545,0.46305,1.77653,0.90132,0.91233,0.0007327,0.0007327,0.0007327
29,662.864,1.67889,0.88137,0.88514,0.97172,0.86686,0.91895,0.46339,1.75359,0.85508,0.90299,0.0007228,0.0007228,0.0007228
30,685.306,1.71099,0.90174,0.88992,0.96812,0.87243,0.92364,0.47038,1.73485,0.86478,0.90814,0.0007129,0.0007129,0.0007129
31,707.505,1.64441,0.89044,0.89478,0.92883,0.85819,0.9144,0.443,1.76741,0.87392,0.91208,0.000703,0.000703,0.000703
32,729.75,1.67255,0.88149,0.88669,0.93931,0.82447,0.89698,0.44812,1.79837,0.90945,0.91376,0.0006931,0.0006931,0.0006931
33,752.066,1.66342,0.87304,0.88094,0.90539,0.83821,0.88529,0.43022,1.83605,0.90877,0.92626,0.0006832,0.0006832,0.0006832
34,774.011,1.73541,0.89056,0.89473,0.9524,0.87578,0.91322,0.43825,1.87646,0.90143,0.92487,0.0006733,0.0006733,0.0006733
35,796.899,1.69789,0.87585,0.89133,0.95495,0.87559,0.91712,0.45599,1.80984,0.87908,0.91592,0.0006634,0.0006634,0.0006634
36,819.635,1.63516,0.83792,0.88464,0.96692,0.86553,0.93236,0.47655,1.75367,0.85627,0.90795,0.0006535,0.0006535,0.0006535
37,841.618,1.61353,0.82771,0.88874,0.96341,0.87473,0.92988,0.4637,1.81577,0.8735,0.91954,0.0006436,0.0006436,0.0006436
38,863.95,1.63999,0.82234,0.87963,0.89988,0.87006,0.90284,0.45245,1.80253,0.88956,0.91707,0.0006337,0.0006337,0.0006337
39,886.398,1.6264,0.84398,0.88999,0.96752,0.8513,0.91337,0.46382,1.78499,0.86675,0.91144,0.0006238,0.0006238,0.0006238
40,908.656,1.64541,0.87474,0.87997,0.95335,0.87699,0.91485,0.4606,1.77468,0.88851,0.90522,0.0006139,0.0006139,0.0006139
41,930.843,1.5997,0.82965,0.87314,0.9635,0.87152,0.91927,0.4751,1.76668,0.89412,0.90299,0.000604,0.000604,0.000604
42,952.919,1.56961,0.81073,0.88148,0.94164,0.87065,0.90513,0.46945,1.75836,0.88954,0.90117,0.0005941,0.0005941,0.0005941
43,975.02,1.58357,0.80664,0.87892,0.9673,0.85756,0.91693,0.46923,1.778,0.86914,0.90368,0.0005842,0.0005842,0.0005842
44,997.278,1.5958,0.83796,0.8726,0.9341,0.86705,0.91824,0.45544,1.7991,0.89791,0.90817,0.0005743,0.0005743,0.0005743
45,1019.35,1.54326,0.78843,0.88249,0.93564,0.887,0.92082,0.47956,1.76285,0.86297,0.90616,0.0005644,0.0005644,0.0005644
46,1041.64,1.52663,0.78613,0.87062,0.93935,0.887,0.91888,0.47004,1.75484,0.84038,0.91004,0.0005545,0.0005545,0.0005545
